,FWHM,rise,flat,error
3,0.3067400399439158,1.9775280898876404,0.8,0.001195989572513498
1,0.3115866357989593,1.3258426966292136,0.8,0.0015433071061567486
0,0.30865181051248064,1.0,0.8,0.0024374570023046123
2,0.30334497129941185,1.651685393258427,0.8,0.0016818200233294925
4,0.30064615741150985,2.303370786516854,0.8,0.0029578612895630432
5,0.3008766583283781,2.6292134831460676,0.8,0.003223571276765819
7,0.32184350460021505,3.2808988764044944,0.8,0.00039913938834441827
6,0.30256433586752646,2.955056179775281,0.8,0.0029895769931114723
9,0.289874621916058,3.9325842696629216,0.8,0.002886695371773616
8,0.29480782743926187,3.606741573033708,0.8,0.004154040646442508
11,0.275820670268555,4.584269662921349,0.8,0.002404197747309641
10,0.28681849131770687,4.258426966292135,0.8,0.0019293343227941415
12,0.26847102684243085,4.910112359550562,0.8,0.0017385303749032721
14,0.23783072018271945,5.561797752808989,0.8,0.001297966785742169
13,0.2803542376875802,5.235955056179775,0.8,0.0003454696541936296
15,0.2195643738635473,5.887640449438202,0.8,0.0013510415432105112
16,0.2047918865080932,6.213483146067416,0.8,0.0011167702304574966
18,0.18051934996901187,6.865168539325843,0.8,0.0008694036056370731
17,0.19321355883148164,6.53932584269663,0.8,0.001023985682078475
19,0.17117014050114393,7.191011235955057,0.8,0.000757908480276509
20,0.16350626575750757,7.5168539325842705,0.8,0.0006616123842838137
21,0.1574758118193286,7.842696629213483,0.8,0.0006127313989446819
23,0.14991466097203057,8.49438202247191,0.8,0.0004893391940343825
22,0.15480535251747352,8.168539325842698,0.8,0.0004927580443900199
27,0.14283607575277424,9.797752808988765,0.8,0.00039706484600181757
24,0.1463190450393469,8.820224719101123,0.8,0.0004506141256192642
25,0.14452278044076913,9.146067415730338,0.8,0.00042149544918183667
26,0.14387564261401983,9.47191011235955,0.8,0.0004031557131886097
28,0.1427420836212741,10.123595505617978,0.8,0.0003816030515663772
31,0.14478566669271234,11.10112359550562,0.8,0.00034377739565881715
30,0.14413768267222807,10.775280898876405,0.8,0.00034562086129513606
29,0.14358760167570736,10.449438202247192,0.8,0.0003616119149004526
33,0.14489317023129916,11.752808988764045,0.8,0.0005115105671793804
35,0.144660564781405,12.404494382022472,0.8,0.0005034171281346813
34,0.14503668350271687,12.07865168539326,0.8,0.0005182271702708574
32,0.14480097701729477,11.426966292134832,0.8,0.0003373760274165442
36,0.14447955755224087,12.730337078651687,0.8,0.0004941768380074599
38,0.14418985422855665,13.382022471910114,0.8,0.0005093823949562572
39,0.1387598528031821,13.707865168539326,0.8,0.0003316120220570795
37,0.14429460224817448,13.0561797752809,0.8,0.0005125280382610127
41,0.1437389817360328,14.359550561797754,0.8,0.0005230545355028801
40,0.14477771872467002,14.033707865168541,0.8,0.0005105125346360655
42,0.14425116985101427,14.685393258426966,0.8,0.0005095150300998947
43,0.14449718520387766,15.011235955056181,0.8,0.0005281861167947067
44,0.1449019417413838,15.337078651685394,0.8,0.0005228834592619835
46,0.1449724373114607,15.98876404494382,0.8,0.0005075154589345683
45,0.14503516760813612,15.662921348314608,0.8,0.0005132668338293997
47,0.14461498982556945,16.314606741573037,0.8,0.0005099608516377688
51,0.14540743886596244,17.617977528089888,0.8,0.0005494416978014866
49,0.14498059815525058,16.966292134831463,0.8,0.0005353842046550593
50,0.14487313605430538,17.292134831460675,0.8,0.0005412963699211597
48,0.14474081899397354,16.640449438202246,0.8,0.0005365316611919724
54,0.1470977354123856,18.59550561797753,0.8,0.0005521696938559549
53,0.14605210135218133,18.269662921348317,0.8,0.0005428311533766581
52,0.1454494035283273,17.9438202247191,0.8,0.0005476336888067504
55,0.14734604806320598,18.921348314606742,0.8,0.0005609512368144683
56,0.14800687786583197,19.247191011235955,0.8,0.0005729340748395094
57,0.14866114934249106,19.573033707865168,0.8,0.0005522234944599554
58,0.14947683514713778,19.898876404494384,0.8,0.0004272321517988631
59,0.15027185734710857,20.224719101123597,0.8,0.000402206049787312
60,0.1503978716415386,20.55056179775281,0.8,0.0004360514451705265
62,0.15208289827732074,21.20224719101124,0.8,0.0004170705962510911
61,0.15112698628812762,20.876404494382022,0.8,0.0004218658710752234
63,0.1529188383493625,21.52808988764045,0.8,0.00045001803954967186
65,0.1548150133107401,22.179775280898877,0.8,0.00041730592434645233
64,0.15386557996208342,21.853932584269664,0.8,0.00042347670142482675
66,0.15558232792889487,22.50561797752809,0.8,0.00041227936006009295
67,0.15569573700015163,22.831460674157306,0.8,0.0004094352717870678
68,0.15615365118257268,23.15730337078652,0.8,0.00045829149640977835
70,0.15808198187735154,23.808988764044944,0.8,0.00043342707600835717
71,0.15830758208404638,24.13483146067416,0.8,0.0004598779569790036
69,0.15685435425969227,23.48314606741573,0.8,0.0004457781852303776
75,0.16179750787428454,25.43820224719101,0.8,0.00045474380665504264
72,0.15932705986518214,24.460674157303373,0.8,0.00045395551999137995
73,0.16032879820172696,24.786516853932586,0.8,0.000443628038753696
74,0.16109981976006882,25.1123595505618,0.8,0.00046055170861896685
78,0.16434304309262782,26.415730337078653,0.8,0.000459351774416799
77,0.1638491451514793,26.08988764044944,0.8,0.0004659105364813701
76,0.1629247380385507,25.764044943820227,0.8,0.0004539873961197666
79,0.16501247660128293,26.741573033707866,0.8,0.0004743479306023472
83,0.16781070465849235,28.04494382022472,0.8,0.0005098709509375051
82,0.1668352663259492,27.719101123595507,0.8,0.0005159419780762693
80,0.16554387414442573,27.067415730337082,0.8,0.00047874509428948717
81,0.16621622494763266,27.393258426966295,0.8,0.0004960731038489864
87,0.17105403850417442,29.348314606741575,0.8,0.0004991621452545841
84,0.16819226722576355,28.370786516853933,0.8,0.0005096010097141491
85,0.1690351061923262,28.69662921348315,0.8,0.0005293391485534014
86,0.16971485329146926,29.022471910112362,0.8,0.0005432555010308365
