,FWHM,rise,flat,error
0,0.1352026293196624,18.0,0.0,0.00039340458789677285
1,0.13595123456933378,18.0,0.1111111111111111,0.00040435927356528205
2,0.1358414481485805,18.0,0.2222222222222222,0.0003927436167392522
3,0.13642253646280444,18.0,0.3333333333333333,0.00038766213296416685
4,0.13740531236711118,18.0,0.4444444444444444,0.0003986431678285093
5,0.1382572882396107,18.0,0.5555555555555556,0.00041887996710788405
6,0.13903981172887148,18.0,0.6666666666666666,0.0003992554047409486
7,0.13972254499971967,18.0,0.7777777777777777,0.0004163628016092849
8,0.1404465372550916,18.0,0.8888888888888888,0.0003959687005183951
9,0.14122433817472313,18.0,1.0,0.00040850397102793574
